Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","XC6206P252MR-G","LDO Voltage Regulators 1uA Low Quiescent 3 Terminal, Low ESR Cap. Compatible, Voltage Regulator","B1","","Not managed","","1","Torex","XC6206P252MR-G","Volume Production","Mouser","865-XC6206P252MR-G","0.53","0.53"
"","22p","Capacitor SMD 0402","C1, C2","","Not managed","","2","Murata","GRM1555C1H220JA01D","Not Recommended for New Design","Mouser","81-GRM1555C1H220JA1D","0.016","0.16"
"","2.2n","Capacitor SMD 0402","C3","","Not managed","","1","Murata","GCM155R71H222KA37D","Volume Production","DigiKey","490-4914-1-ND","0.1","0.1"
"","4.7p","Capacitor SMD 0402","C4","","Not managed","","1","Murata","GJM1555C1H4R7BB01D","Volume Production","DigiKey","490-8102-1-ND","0.14","0.14"
"","1.5p","Capacitor SMD 0402","C5","","Not managed","","1","Murata","GJM1555C1H1R5BB01D","Volume Production","Mouser","81-GJM1555C1H1R5BB1D","0.1","0.1"
"","1.0p","Capacitor SMD 0402","C6","","Not managed","","1","Murata","GJM1555C1H1R0BB01D","Volume Production","DigiKey","490-6073-1-ND","0.1","0.1"
"","33n","Capacitor SMD 0402","C7","","Not managed","","1","Murata","GCM155R71H333KE02D","Volume Production","DigiKey","490-13296-1-ND","0.1","0.1"
"","GRM158R61A226ME15D","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 22uF, X5R, 15%, 20%, 10V","C8, C9, C10, C12, C13, C14, C16, C17, C18, C19, C20, C21, C22","CMP-06035-020400-1","New From Design","Up to date","13","Murata","GRM158R61A226ME15D","Volume Production","Newark","GRM158R61A226ME15D","0.198","2.57"
"","4.7u","Capacitor SMD 0402","C11, C15","","Not managed","","2","Murata","GRM155R61E475ME15D","Obsolete","","","",""
"","RED","LED 0402 RED SMD","D1, D4, D7","","Not managed","","3","Everlight","16-213SDRC/S530-A3/TR8","Volume Production","DigiKey","1080-1570-1-ND","0.33","0.99"
"","GREEN","LED 0402 GREEN SMD","D2, D6","","Not managed","","2","Everlight","16-213/GHC-YR1S1/3T","Volume Production","","","",""
"","USBLC6-2SC6Y","Low Cap. ESD Protection Auto SOT-23-6 STMicroelectronics USBLC6-2SC6Y, Dual Uni-Directional TVS Diode Array, 6-Pin SOT-23","D3","","Not managed","","1","STMicroelectronics","USBLC6-2SC6Y","Volume Production","Arrow Electronics","USBLC6-2SC6Y","0.4406","0.4406"
"","BLUE","LED 0402 BLUE SMD","D5","","Not managed","","1","Everlight","16-213/BHC-AN1P2/3T","Volume Production","","","",""
